Model,Features,Constraints,UVL2Logic Time (s),Variables,Clauses,fastOrder Time (s),Logic2BDD Time (s),BDD Nodes,Configurations,Info
security-CVE-VarelaVaca2020-2011-3664,386,608,1.2964e-06,386,634,0.2045,0.3203,1557,1628,
systems_software-uClibc-Pett2023-2016-12-14_07-56-05,235,1231,1.4529e-06,235,1466,0.0806,0.1432,21334,2.83e27,
systems_software-BusyBox-Pett2021-2007-07-14_22-07-14,455,481,1.8105e-06,455,936,0.0511,0.134,73102,1.18e105,
systems_software-BusyBox-Pett2021-2008-05-22_21-56-26,540,564,1.5236e-06,540,1104,0.0531,0.1183,44173,6.22e124,
systems_software-soletta-Pett2023-2015-10-13_15-57-54,292,922,1.6782e-06,292,1214,0.0502,0.0529,28680,4.01e34,
security-CVE-VarelaVaca2020-2012-5833,509,549,1.4324e-06,509,610,0.2476,0.4336,3936,2288,
systems_software-uClibc-Pett2023-2011-10-14_14-11-01,242,1312,1.8794e-06,242,1554,0.0722,0.1317,13524,8.28e27,
security-CVE-VarelaVaca2020-2016-1931,339,823,1.3262e-06,339,847,0.3247,1.0104,2008,5720,
security-CVE-VarelaVaca2020-2018-20147,489,461,1.5795e-06,489,479,0.6117,3.9438,1995,2788,
security-CVE-VarelaVaca2020-2013-2204,120,97,1.8030e-06,120,112,0.0608,0.092,491,868,
security-CVE-VarelaVaca2020-2016-1974,551,1004,1.9558e-06,551,1040,0.483,1.5138,3848,6844,
security-CVE-VarelaVaca2020-2008-0028,167,225,1.3839e-06,167,246,0.0682,0.1045,469,1168,
security-CVE-VarelaVaca2020-2008-3837,129,97,1.5441e-06,129,124,0.0468,0.0602,527,420,
security-CVE-VarelaVaca2020-2009-2466,129,86,1.1213e-06,129,102,0.0474,0.0742,395,464,
security-CVE-VarelaVaca2020-2014-1563,284,449,1.4585e-06,284,478,0.2169,0.57,975,1092,
security-CVE-VarelaVaca2020-2016-2795,392,836,1.5907e-06,392,871,0.3391,1.1143,2435,5888,
systems_software-soletta-Pett2023-2015-10-14_15-02-52,293,925,1.7323e-06,293,1218,0.0531,0.0639,9980,4.01e34,
security-CVE-VarelaVaca2020-2014-6604,115,1,1.2964e-06,115,15,2.1962,2.3086,215,408,
security-CVE-VarelaVaca2020-2018-17884,135,1,1.9521e-06,135,15,4.0002,4.041,255,488,
systems_software-BusyBox-Pett2021-2010-04-14_12-31-26,629,679,1.6131e-06,629,1308,0.0601,1.139,3874,9.17e140,
security-CVE-VarelaVaca2020-2015-7219,339,809,1.4957e-06,339,836,0.3337,0.9757,1934,5708,
systems_software-sleb-Berger2013,1189,3009,1.2163e-06,1189,4198,0.4937,Timeout,,,
security-CVE-VarelaVaca2020-2018-17866,231,1,1.4696e-06,231,15,26.2721,27.0244,447,872,
security-CVE-VarelaVaca2020-2016-2816,336,839,1.7211e-06,336,857,83.4038,84.0038,1354,5732,
security-CVE-VarelaVaca2020-2012-3976,357,421,1.3746e-06,357,478,0.1657,0.3092,2506,1376,
security-CVE-VarelaVaca2020-2008-2802,164,131,1.8794e-06,164,153,0.0502,0.068,611,596,
systems_software-olpce2294-Knüppel2017,1287,904,1.8459e-06,1287,2174,0.6756,Timeout,,,
security-CVE-VarelaVaca2020-2013-7477,135,114,1.7155e-06,135,130,3.1428,3.2828,425,488,
security-CVE-VarelaVaca2020-2012-1952,165,87,1.5274e-06,165,111,0.0494,0.0627,630,716,
systems_software-soletta-Pett2023-2015-11-10_18-45-06,304,976,1.6801e-06,304,1280,0.0519,0.076,15159,6.05e35,
systems_software-BusyBox-Pett2021-2007-06-16_13-37-59,452,477,2.1290e-06,452,929,0.0537,0.0939,48212,1.58e104,
security-CVE-VarelaVaca2020-2009-1836,232,194,1.8906e-06,232,216,0.0757,0.1147,1058,876,
security-CVE-VarelaVaca2020-2019-19984,136,1,1.1921e-06,136,15,4.012,4.2004,257,492,
security-CVE-VarelaVaca2020-2010-3178,276,235,1.5479e-06,276,257,0.095,0.1623,1038,1072,
security-CVE-VarelaVaca2020-2009-1834,150,122,1.6280e-06,150,141,0.0571,0.0879,611,544,
systems_software-uClibc-Pett2023-2020-09-21_13-39-06,234,1565,1.6447e-06,234,1799,0.0973,0.1455,8532,3.07e25,
security-CVE-VarelaVaca2020-2016-5272,360,894,1.3616e-06,360,914,0.3315,1.2986,1749,5820,
systems_software-mac7100evb-Knüppel2017,1247,867,1.8682e-06,1247,2097,0.6443,Timeout,,,
security-CVE-VarelaVaca2020-2013-5594,253,424,2.2488e-05,253,440,29.6055,29.6832,920,1004,
security-CVE-VarelaVaca2020-2020-28038,546,522,1.4659e-06,546,536,501.8294,496.2197,1673,3060,
security-CVE-VarelaVaca2020-2012-0471,157,85,1.3988e-06,157,109,0.0472,0.0605,575,660,
systems_software-BusyBox-Pett2021-2009-10-09_22-11-30,600,654,1.5665e-06,600,1254,0.0628,0.1098,34006,1.11e135,
systems_software-BusyBox-Pett2021-2007-07-20_21-28-41,456,482,1.7025e-06,456,938,0.0496,0.0828,26117,1.18e105,
security-CVE-VarelaVaca2020-2016-5837,388,366,1.5255e-06,388,380,160.1653,163.817,1197,2188,
systems_software-soletta-Pett2023-2015-10-20_17-46-20,294,926,1.9744e-06,294,1220,0.0531,0.0497,13484,8.15e34,
security-CVE-VarelaVaca2020-2014-1518,592,678,1.6838e-06,592,741,0.4377,0.9421,3224,2832,
security-CVE-VarelaVaca2020-2013-1675,378,508,1.6894e-06,378,532,0.217,0.5036,2316,1732,
security-CVE-VarelaVaca2020-2016-5253,350,881,1.6447e-06,350,899,98.5737,99.8155,1332,5788,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-45,213,1040,1.9278e-06,213,1253,0.0704,0.4095,5923,4.60e7,
security-CVE-VarelaVaca2020-2014-1586,284,468,1.2349e-06,284,488,0.1963,0.6275,1388,1128,
systems_software-cq7708-Knüppel2017,1252,858,1.5013e-06,1252,2088,0.6264,Timeout,,,
security-CVE-VarelaVaca2020-2020-15683,941,2113,2.5798e-06,941,2148,1.5352,6.2932,8008,27236,
systems_software-BusyBox-Pett2021-2007-09-02_22-12-07,469,502,1.2554e-06,469,971,0.0537,0.4615,3623,4.99e107,
security-CVE-VarelaVaca2020-2009-2462,137,94,1.7658e-06,137,110,0.0524,0.0915,456,496,
security-CVE-VarelaVaca2020-2007-4879,105,82,1.7714e-06,105,100,0.0382,0.0537,399,360,
systems_software-BusyBox-Pett2021-2008-07-17_18-26-45,555,610,1.5683e-06,555,1165,0.0532,0.1051,25533,3.18e126,
systems_software-uClibc-Pett2023-2015-10-19_01-37-11,243,1096,2.2445e-06,243,1339,0.0681,0.1,5742,1.40e20,
security-CVE-VarelaVaca2020-2012-4422,114,92,1.8682e-06,114,106,1.6984,1.7134,444,820,
security-CVE-VarelaVaca2020-2013-0780,528,585,1.9167e-06,528,636,0.3331,0.6257,4151,2480,
security-CVE-VarelaVaca2020-2020-8596,180,165,1.7937e-06,180,181,10.5909,10.6035,426,656,
security-CVE-VarelaVaca2020-2009-3012,107,88,2.1607e-06,107,102,1.397,1.4786,254,376,
systems_software-soletta-Pett2023-2015-09-02_13-57-24,246,739,1.6280e-06,246,985,0.0406,0.0558,6737,4.61e30,
security-CVE-VarelaVaca2020-2012-1973,487,525,2.1998e-06,487,591,0.2591,0.4172,4009,2092,
systems_software-BusyBox-Pett2021-2010-04-06_18-48-32,628,678,2.0284e-06,628,1306,0.0602,0.1609,79495,6.11e140,
security-CVE-VarelaVaca2020-2008-5500,103,65,1.8943e-06,103,96,0.0285,0.0374,442,296,
security-CVE-VarelaVaca2020-2010-3182,276,235,1.9297e-06,276,257,0.0938,0.1704,1038,1072,
security-CVE-VarelaVaca2020-2011-2988,159,115,1.9316e-06,159,137,0.0534,0.0788,539,648,
security-CVE-VarelaVaca2020-2015-2708,491,661,1.9781e-06,491,694,0.3603,1.0879,2629,2208,
security-CVE-VarelaVaca2020-2017-5493,433,411,2.0973e-06,433,425,239.8439,242.9122,1308,2432,
security-CVE-VarelaVaca2020-2013-0782,528,585,1.9129e-06,528,636,0.3382,0.5967,4060,2480,
security-CVE-VarelaVaca2020-2007-0009,133,55,1.5721e-06,133,88,0.0357,0.0428,555,400,
systems_software-at91sam7sek-Berger2013,1297,3921,2.9244e-06,1297,5218,0.9953,Timeout,,,
systems_software-BusyBox-Pett2021-2010-01-18_02-08-30,612,669,2.6990e-06,612,1281,0.0607,0.6856,3370,4.36e137,
security-CVE-VarelaVaca2020-2014-1550,415,578,1.7714e-06,415,598,0.2727,0.8382,2308,1944,
security-CVE-VarelaVaca2020-2014-8632,395,568,2.1011e-06,395,588,0.2673,0.7407,1649,1936,
security-CVE-VarelaVaca2020-2016-2806,353,843,1.8720e-06,353,873,0.3634,1.1587,1815,5752,
systems_software-BusyBox-Pett2021-2007-09-08_16-51-19,470,503,1.6671e-06,470,973,0.0516,0.1339,71512,9.15e107,
security-CVE-VarelaVaca2020-2013-0746,536,581,1.8813e-06,536,644,0.3133,0.53,4306,2424,
systems_software-BusyBox-Pett2021-2008-03-25_01-17-40,536,571,1.3709e-06,536,1107,0.0563,8.5102,2272,5.48e123,
security-CVE-VarelaVaca2020-2020-11027,546,517,1.8012e-06,546,535,0.7858,5.8474,2203,3044,
systems_software-BusyBox-Pett2021-2009-09-26_14-31-04,599,652,1.4491e-06,599,1251,0.061,0.2272,72272,5.53e134,
security-CVE-VarelaVaca2020-2011-4487,111,7,1.5981e-06,111,26,0.0393,0.0618,364,372,
security-CVE-VarelaVaca2020-2011-3666,267,448,1.6708e-06,267,470,0.1254,0.2304,864,1048,
systems_software-soletta-Pett2023-2015-11-27_14-29-46,313,1016,2.2594e-06,313,1329,0.0609,0.0769,18179,1.10e37,
systems_software-Linux-Berger2013-2.6.32-2var,60073,268223,2.4345e-06,60073,328296,Timeout,,,,
security-CVE-VarelaVaca2020-2009-1841,232,194,1.8962e-06,232,216,0.0743,0.1232,962,876,
systems_software-uClibc-Pett2023-2015-12-05_21-12-19,236,1105,1.7118e-06,236,1341,0.0682,0.0959,920,8.43e19,
security-CVE-VarelaVaca2020-2018-5776,474,452,1.6633e-06,474,466,320.5505,318.7431,1434,2668,
systems_software-BusyBox-Pett2021-2008-03-21_18-29-01,535,570,2.5257e-06,535,1105,0.0561,0.1503,116366,2.74e123,
security-CVE-VarelaVaca2020-2015-2733,333,520,1.7285e-06,333,549,0.2736,0.8324,1712,1284,
systems_software-cma230-Berger2013,1213,3739,2.1979e-06,1213,4952,0.7969,Timeout,,,
systems_software-Fiasco-Pett2023-2020-06-23_13-59-40,250,1466,2.1216e-06,250,1716,0.0974,0.7636,26282,2.27e8,
security-CVE-VarelaVaca2020-2015-9299,142,121,1.3132e-06,142,137,3.9349,3.9205,450,516,
security-CVE-VarelaVaca2020-2011-2669,127,111,1.4808e-06,127,125,2.8825,3.0124,302,460,
security-CVE-VarelaVaca2020-2009-2662,101,85,1.4454e-06,101,99,1.3211,1.3261,275,356,
security-CVE-VarelaVaca2020-2015-7179,334,805,5.0981e-06,334,829,0.3021,0.936,1660,7608,
systems_software-npwr-Berger2013,1259,3822,1.4026e-06,1259,5081,1.142,Timeout,,,
security-CVE-VarelaVaca2020-2015-4063,103,1,1.2405e-06,103,16,1.4515,1.5512,192,356,
security-CVE-VarelaVaca2020-2018-20149,489,461,1.9558e-06,489,479,0.658,3.9295,1974,2788,
systems_software-BusyBox-Pett2021-2008-06-02_13-28-47,546,589,1.0803e-06,546,1135,0.0538,0.0779,31618,3.73e125,
security-CVE-VarelaVaca2020-2011-4688,176,149,1.4119e-06,176,163,6.9132,6.8473,427,664,
security-CVE-VarelaVaca2020-2018-12406,448,1141,1.4156e-06,448,1165,0.5025,2.8951,3004,8864,
security-CVE-VarelaVaca2020-2015-4506,327,551,1.4305e-06,327,569,0.2469,0.94,1285,1308,
security-CVE-VarelaVaca2020-2012-3576,113,98,1.1232e-06,113,115,1.9005,1.9476,213,388,
systems_software-BusyBox-Pett2021-2008-03-17_09-10-39,547,582,1.9334e-06,547,1129,0.0526,0.0918,21126,6.85e126,
security-CVE-VarelaVaca2020-2013-1731,245,584,1.4529e-06,245,604,22.928,22.9603,932,3488,
systems_software-nano-Knüppel2017,1278,911,1.7174e-06,1278,2172,0.6625,Timeout,,,
systems_software-soletta-Pett2023-2016-05-13_09-54-58,425,1657,1.4119e-06,425,2082,0.0964,2.4174,74938,1.19e44,
security-CVE-VarelaVaca2020-2015-4127,130,1,1.2536e-06,130,16,3.3501,3.4856,246,464,
systems_software-mb93093-Berger2013,1231,3083,2.0843e-06,1231,4314,0.5848,Timeout,,,
security-CVE-VarelaVaca2020-2013-1725,502,608,1.8589e-06,502,636,0.2895,0.6256,3284,2552,
security-CVE-VarelaVaca2020-2013-5614,437,537,1.5218e-06,437,602,0.2733,0.6059,2897,1880,
security-CVE-VarelaVaca2020-2012-0460,140,77,1.2331e-06,140,101,0.0436,0.0559,506,560,
security-CVE-VarelaVaca2020-2011-0078,206,137,1.3914e-06,206,157,0.0643,0.0953,626,816,
security-CVE-VarelaVaca2020-2011-4956,101,79,1.4473e-06,101,93,0.9697,0.9958,419,680,
security-CVE-VarelaVaca2020-2011-0057,195,167,1.2405e-06,195,185,0.0758,0.1389,619,724,
systems_software-uClibc-Pett2023-2009-10-28_20-56-34,245,1736,1.6596e-06,245,1981,0.0997,0.1745,9066,5.28e25,
systems_software-sparc_erc32-Knüppel2017,1181,816,1.3560e-06,1181,1980,0.5474,Timeout,,,
security-CVE-VarelaVaca2020-2011-2984,223,162,1.4380e-06,223,182,0.0809,0.1531,896,936,
security-CVE-VarelaVaca2020-2014-1526,394,534,1.6205e-06,394,566,0.2727,0.6836,2093,1876,
security-CVE-VarelaVaca2020-2020-13617,179,81,1.5907e-06,179,159,0.041,0.0427,1438,612,
security-CVE-VarelaVaca2020-2015-2739,528,689,1.4827e-06,528,732,0.4343,1.1616,3636,2328,
security-CVE-VarelaVaca2020-2013-0754,536,581,1.2498e-06,536,644,0.338,0.4996,4270,2424,
security-CVE-VarelaVaca2020-2014-8641,410,584,1.5572e-06,410,606,0.2713,0.8043,1620,1988,
security-CVE-VarelaVaca2020-2016-2107,206,132,1.3392e-06,206,174,0.0731,0.1409,855,784,
security-CVE-VarelaVaca2020-2013-1707,388,516,1.7229e-06,388,540,0.2208,0.5625,1890,1780,
systems_software-uClibc-Pett2023-2010-02-16_15-11-07,248,1744,1.4491e-06,248,1992,0.0932,0.155,8014,4.72e26,
security-CVE-VarelaVaca2020-2010-1199,144,95,1.4268e-06,144,116,0.0433,0.0337,456,1080,
hardware-pc-richmond-Sprey2020,364,12,1.3560e-06,364,124,0.0499,0.0489,3315,5.54e20,
systems_software-soletta-Pett2023-2015-07-06_17-48-29,114,208,1.1940e-06,114,322,0.0219,0.0322,212,2.48e20,
security-CVE-VarelaVaca2020-2020-28036,546,522,1.4286e-06,546,536,490.0409,489.5878,1676,3060,
systems_software-soletta-Pett2023-2016-03-28_15-54-39,382,1274,1.9204e-06,382,1656,0.0648,0.0573,13237,1.99e40,
systems_software-BusyBox-Pett2021-2008-06-04_11-28-24,548,591,1.4435e-06,548,1139,0.0548,0.0785,4140,9.92e125,
security-CVE-VarelaVaca2020-2015-7989,332,310,1.7080e-06,332,324,91.4091,93.5996,1014,1908,
security-CVE-VarelaVaca2020-2016-1954,551,1004,1.5553e-06,551,1040,0.4822,1.5212,3800,6844,
systems_software-BusyBox-Pett2021-2008-02-01_06-53-50,494,526,1.1139e-06,494,1020,0.0536,0.0749,14059,3.83e112,
security-CVE-VarelaVaca2020-2012-3969,447,525,1.3988e-06,447,553,0.2138,0.4162,2064,2096,
security-CVE-VarelaVaca2020-2015-2714,333,758,1.2647e-06,333,782,54.3481,54.1382,1486,99516,
security-CVE-VarelaVaca2020-2013-1720,480,606,1.4678e-06,480,630,0.3118,0.5924,2157,2480,
systems_software-flexanet-Berger2013,1266,3883,2.1532e-06,1266,5149,0.7642,Timeout,,,
security-CVE-VarelaVaca2020-2009-0355,107,86,2.6897e-06,107,100,1.3088,1.3118,256,384,
security-CVE-VarelaVaca2020-2010-3768,288,247,2.0713e-06,288,269,0.0998,0.1797,960,1120,
systems_software-BusyBox-Pett2021-2008-09-13_14-59-38,542,564,1.3895e-06,542,1106,0.0551,0.095,28458,1.45e124,
security-CVE-VarelaVaca2020-2013-5590,475,578,1.4063e-06,475,606,0.2746,0.6715,2133,2332,
security-CVE-VarelaVaca2020-2011-3654,297,256,1.4175e-06,297,274,0.1261,0.2683,996,1232,
systems_software-BusyBox-Pett2021-2007-06-20_15-23-03,453,479,1.8980e-06,453,932,0.0496,0.0864,26272,3.15e104,
systems_software-soletta-Pett2023-2015-10-16_18-21-30,295,929,1.4957e-06,295,1224,0.0553,0.063,3953,1.60e35,
security-CVE-VarelaVaca2020-2012-0459,140,77,1.1977e-06,140,101,0.0463,0.0561,506,560,
security-CVE-VarelaVaca2020-2016-2794,392,836,1.3504e-06,392,871,0.3477,1.2066,2598,5888,
security-CVE-VarelaVaca2020-2013-2202,118,96,1.5162e-06,118,110,1.8299,1.8457,442,864,
security-CVE-VarelaVaca2020-2018-20153,489,461,1.4640e-06,489,479,0.6602,3.9365,1959,2788,
security-CVE-VarelaVaca2020-2018-20988,105,1,1.2014e-06,105,15,1.6267,1.7349,195,368,
systems_software-uClibc-Pett2023-2017-01-24_05-14-44,237,1235,1.9819e-06,237,1472,0.0824,0.116,7451,3.06e27,
security-CVE-VarelaVaca2020-2012-3957,482,524,1.9595e-06,482,587,0.2563,0.3999,4002,2084,
security-CVE-VarelaVaca2020-2020-15674,489,1700,1.4808e-06,489,1720,311.3223,313.3606,2263,24948,
systems_software-BusyBox-Pett2021-2008-06-13_11-16-09,550,592,1.6410e-06,550,1142,0.0509,0.0967,24266,2.97e126,
systems_software-sa1100mm-Knüppel2017,1235,878,1.4640e-06,1235,2096,0.6968,Timeout,,,
security-CVE-VarelaVaca2020-2018-20150,489,461,2.8536e-06,489,479,0.6175,3.872,1963,2788,
systems_software-tx39_sim-Knüppel2017,1192,822,1.4529e-06,1192,1997,0.5452,Timeout,,,
security-CVE-VarelaVaca2020-2013-1728,480,606,1.8217e-06,480,630,0.2836,0.662,1977,2480,
security-CVE-VarelaVaca2020-2008-5507,103,65,1.8943e-06,103,96,0.0268,0.037,460,296,
security-CVE-VarelaVaca2020-2016-1967,333,830,1.3579e-06,333,848,85.2247,85.6279,1176,5720,
security-CVE-VarelaVaca2020-2015-7204,339,809,1.5907e-06,339,836,0.3349,1.1604,1746,5708,
systems_software-Fiasco-Pett2023-2019-11-05_15-47-28,242,1342,1.6931e-06,242,1584,0.0881,1.1004,10720,1.52e8,
security-CVE-VarelaVaca2020-2009-3988,125,98,1.3839e-06,125,116,0.0511,0.0881,394,436,
security-CVE-VarelaVaca2020-2020-12462,274,258,1.3560e-06,274,274,51.8004,51.9582,662,1036,
security-CVE-VarelaVaca2020-2012-3962,447,525,1.3225e-06,447,553,0.2124,0.4278,2292,2096,
systems_software-uClibc-Pett2023-2016-05-18_18-41-24,232,1172,1.3895e-06,232,1404,0.0722,0.129,16479,8.39e27,
security-CVE-VarelaVaca2020-2007-0776,121,89,2.1141e-06,121,111,0.0376,0.0512,395,400,
security-CVE-VarelaVaca2020-2009-1308,114,93,1.4957e-06,114,107,0.0458,0.0824,319,412,
security-CVE-VarelaVaca2020-2014-1496,545,659,1.3094e-06,545,701,0.3679,0.8158,3402,2720,
security-CVE-VarelaVaca2020-2018-18502,450,1147,1.6894e-06,450,1171,0.494,3.0612,2598,8872,
security-CVE-VarelaVaca2020-2020-15670,458,404,1.4175e-06,458,424,0.3398,1.2539,1649,2296,
security-CVE-VarelaVaca2020-2015-9413,173,1,1.2908e-06,173,15,9.2777,9.4468,331,640,
security-CVE-VarelaVaca2020-2016-2835,350,881,1.6056e-06,350,899,100.6985,113.8953,1452,5788,
systems_software-BusyBox-Pett2021-2009-06-19_12-10-38,585,637,1.4137e-06,585,1222,0.0593,2.2746,2389,1.42e132,
security-CVE-VarelaVaca2020-2019-14946,255,1,1.3746e-06,255,15,42.8013,42.6216,495,968,
systems_software-BusyBox-Pett2021-2008-05-22_02-07-58,539,561,1.3448e-06,539,1100,0.0551,0.0932,30516,6.22e124,
automotive-automotive2-Knüppel2017-2_1,14010,666,1.6652e-06,14010,4648,Timeout,,,,
security-CVE-VarelaVaca2020-2016-1953,545,1003,1.8049e-06,545,1036,0.4881,1.7268,3426,6832,
security-CVE-VarelaVaca2020-2012-1972,487,525,1.5236e-06,487,591,0.2596,0.383,4015,2092,
security-CVE-VarelaVaca2020-2015-7183,424,558,2.3004e-06,424,578,0.3154,1.0638,1892,1688,
systems_software-BusyBox-Pett2021-2009-04-13_14-23-12,576,616,1.4305e-06,576,1192,0.0616,0.133,65358,4.71e130,
security-CVE-VarelaVaca2020-2015-4510,318,550,1.5292e-06,318,566,71.8889,72.3698,1188,1280,
security-CVE-VarelaVaca2020-2014-8585,117,1,1.4137e-06,117,15,2.4293,2.5583,219,416,
systems_software-BusyBox-Pett2021-2008-06-12_20-23-03,550,592,1.8831e-06,550,1142,0.052,0.1415,59386,2.97e126,
systems_software-soletta-Pett2023-2015-09-28_17-02-04,278,860,1.6000e-06,278,1138,0.0478,0.0692,18867,1.11e33,
security-CVE-VarelaVaca2020-2013-0751,312,589,1.5032e-06,312,613,0.1852,0.3687,1320,2960,
security-CVE-VarelaVaca2020-2012-4213,493,545,1.7211e-06,493,597,0.2495,0.4374,3110,2260,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-53,229,1213,1.4529e-06,229,1442,0.0843,0.513,11256,8.08e7,
security-CVE-VarelaVaca2020-2013-5596,456,578,1.9632e-06,456,606,0.3465,0.7342,2482,2256,
security-CVE-VarelaVaca2020-2020-12076,127,1,1.4212e-06,127,15,3.2348,3.3004,239,456,
security-CVE-VarelaVaca2020-2009-2471,106,85,1.7527e-06,106,99,1.3536,1.3537,258,380,
security-CVE-VarelaVaca2020-2015-0802,309,505,1.3299e-06,309,531,0.2323,0.7614,1269,1200,
systems_software-soletta-Pett2023-2016-05-03_17-52-25,399,1569,2.3153e-06,399,1968,0.1018,10.3942,180214,1.76e42,
security-CVE-VarelaVaca2020-2014-1508,590,672,1.6168e-06,590,740,0.3924,0.8632,4316,2792,
systems_software-at91sam7xek-Berger2013,1320,3963,1.3765e-06,1320,5283,0.6871,Timeout,,,
systems_software-BusyBox-Pett2021-2008-09-28_13-50-57,556,576,2.2165e-06,556,1132,0.0554,0.1109,58023,8.53e126,
security-CVE-VarelaVaca2020-2013-1690,385,514,1.2871e-06,385,539,0.2331,0.5485,2128,1760,
systems_software-sparc_erc32-Berger2013,1169,2972,2.0526e-06,1169,4141,0.6159,Timeout,,,
systems_software-soletta-Pett2023-2015-06-30_14-20-41,101,186,1.4007e-06,101,287,0.0202,0.0301,270,3.62e17,
security-CVE-VarelaVaca2020-2013-7480,122,101,1.2685e-06,122,117,2.3261,2.3609,380,436,
security-CVE-VarelaVaca2020-2016-2817,336,839,1.8682e-06,336,857,85.3852,85.7505,1274,5732,
security-CVE-VarelaVaca2020-2009-0775,180,147,1.8217e-06,180,169,0.0551,0.0788,809,664,
systems_software-uClibc-Pett2023-2009-02-24_07-20-53,240,1732,1.4678e-06,240,1972,0.0941,0.1322,10362,8.09e24,
security-CVE-VarelaVaca2020-2015-7218,339,809,1.4678e-06,339,836,0.2976,1.0019,1744,5708,
security-CVE-VarelaVaca2020-2017-18507,123,1,1.3318e-06,123,15,2.8652,2.9204,231,440,
security-CVE-VarelaVaca2020-2020-9372,225,1,1.6242e-06,225,16,23.9383,24.031,436,844,
security-CVE-VarelaVaca2020-2005-4134,102,37,1.2349e-06,102,62,0.0257,0.0397,314,312,
security-CVE-VarelaVaca2020-2016-2820,336,839,1.8515e-06,336,857,84.1722,85.3957,1327,5732,
security-CVE-VarelaVaca2020-2013-1718,502,608,1.4156e-06,502,636,0.2677,0.6454,2756,2552,
security-CVE-VarelaVaca2020-2016-5278,360,894,1.3206e-06,360,914,0.3564,1.2973,1919,5820,
systems_software-BusyBox-Pett2021-2007-06-19_11-24-47,452,477,1.4417e-06,452,929,0.0545,0.0629,3009,1.58e104,
systems_software-ixdp425-Berger2013,1248,3799,2.2929e-06,1248,5047,0.8218,Timeout,,,
security-CVE-VarelaVaca2020-2013-5612,437,537,2.2668e-06,437,602,0.2781,0.5875,2889,1880,
security-CVE-VarelaVaca2020-2007-5045,117,79,1.6317e-06,117,100,0.0373,0.0537,346,664,
security-CVE-VarelaVaca2020-2012-4208,467,543,1.7472e-06,467,591,0.2645,0.4279,2676,2172,
security-CVE-VarelaVaca2020-2019-15327,194,1,1.8068e-06,194,15,13.8304,14.1794,373,724,
security-CVE-VarelaVaca2020-2014-1583,280,467,1.6466e-06,280,485,0.1921,0.6891,1660,1120,
systems_software-BusyBox-Pett2021-2007-11-22_00-58-49,480,515,1.3411e-06,480,995,0.0553,0.079,19192,1.53e110,
security-CVE-VarelaVaca2020-2009-3074,116,95,1.2666e-06,116,109,1.8592,1.7903,281,420,
security-CVE-VarelaVaca2020-2012-1964,145,70,1.6261e-06,145,94,0.0405,0.0501,495,508,
security-CVE-VarelaVaca2020-2014-10377,105,1,1.4286e-06,105,15,1.7691,1.7473,195,368,
security-CVE-VarelaVaca2020-2014-9039,146,115,1.8869e-06,146,136,0.0658,0.1148,584,988,
security-CVE-VarelaVaca2020-2012-3967,485,836,1.3430e-06,485,901,0.2631,0.4723,3454,2300,
security-CVE-VarelaVaca2020-2019-15821,146,1,1.6429e-06,146,15,4.974,5.0815,277,532,
security-CVE-VarelaVaca2020-2017-6815,441,414,1.5255e-06,441,432,0.5211,2.7868,1752,2452,
security-CVE-VarelaVaca2020-2010-2764,267,226,1.3616e-06,267,248,0.0923,0.1518,1005,1036,
security-CVE-VarelaVaca2020-2018-9844,109,1,1.1660e-06,109,16,1.9233,1.9598,204,380,
security-CVE-VarelaVaca2020-2014-9178,152,1,1.2908e-06,152,16,5.6898,5.8482,290,552,
security-CVE-VarelaVaca2020-2012-0456,363,294,1.8235e-06,363,320,0.1465,0.2612,1736,1596,
systems_software-h8max-Berger2013,1203,3072,2.0023e-06,1203,4275,0.7187,Timeout,,,
security-CVE-VarelaVaca2020-2016-6634,364,342,1.6484e-06,364,356,129.435,129.8398,1127,2056,
security-CVE-VarelaVaca2020-2009-2335,102,60,1.4268e-06,102,77,0.0401,0.0542,430,588,
systems_software-se77x9-Knüppel2017,1333,911,1.2871e-06,1333,2222,0.7639,Timeout,,,
security-CVE-VarelaVaca2020-2011-0065,206,174,2.1886e-06,206,193,0.0765,0.1477,652,6016,
security-CVE-VarelaVaca2020-2014-9036,141,114,1.5479e-06,141,132,0.0641,0.1195,633,980,
systems_software-soletta-Pett2023-2015-09-14_11-45-27,259,794,1.4920e-06,259,1053,0.0464,0.0572,4353,4.61e31,
security-CVE-VarelaVaca2020-2016-2828,375,884,1.3746e-06,375,918,0.363,1.3582,2137,5820,
security-CVE-VarelaVaca2020-2012-0451,140,77,1.4547e-06,140,101,0.0443,0.0558,606,560,
security-CVE-VarelaVaca2020-2016-5835,388,366,1.2144e-06,388,380,159.4891,161.6775,1203,2188,
systems_software-uClibc-Pett2023-2016-12-21_18-50-24,235,1231,1.4547e-06,235,1466,0.0783,0.1232,8129,2.83e27,
security-CVE-VarelaVaca2020-2016-5282,354,893,1.5292e-06,354,911,103.9668,104.401,1348,5804,
security-CVE-VarelaVaca2020-2015-0810,297,722,1.9353e-06,297,742,51.9855,52.9051,1099,5304,
systems_software-mbx-Berger2013,1296,3218,1.4752e-06,1296,4514,0.65,Timeout,,,
security-CVE-VarelaVaca2020-2018-6389,476,453,1.6969e-06,476,468,315.9156,318.2471,1428,2672,
